t,x,y,z,pitch,yaw,roll,vx,vy,vz,throttle,steer,brake,reverse,gear
0.0,-70.15645599365234,-15.41109848022461,0.29999998211860657,0.0,179.79132080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
0.1,-70.15645599365234,-15.41109848022461,0.2428586781024933,0.0,179.79132080078125,0.0,0.0,0.0,-0.9794285297393799,0.0,0.0,0.0,False,0
0.2,-70.15645599365234,-15.41109848022461,0.09282735735177994,0.0,179.79132080078125,0.0,1.1722690373972e-07,-9.887162377708592e-07,-1.6581377983093262,0.699999988079071,0.15001951158046722,0.0,False,0
0.30000000000000004,-70.15645599365234,-15.41109848022461,0.008942660875618458,0.0,179.79132080078125,0.0,4.134287912016532e-10,-1.3381325913996989e-07,-0.4019882380962372,0.3218954801559448,0.046566519886255264,0.0,False,0
0.4,-70.15645599365234,-15.41109848022461,-5.1364899263717234e-05,0.0,179.79132080078125,0.0,9.798672984118184e-10,-1.5606289593961264e-07,0.05660576373338699,0.5019685626029968,0.04657169431447983,0.0,False,0
0.5,-70.15645599365234,-15.41109848022461,0.012554416432976723,0.0,179.79132080078125,0.0,-2.1300821106962076e-09,2.570747028585174e-07,0.14580051600933075,0.699999988079071,0.04657686501741409,0.0,False,0
0.6000000000000001,-70.15645599365234,-15.41109848022461,0.02552785724401474,0.0,179.79132080078125,0.0,9.88185266947994e-09,-7.903064869196896e-08,0.1111636832356453,0.699999988079071,0.04658203944563866,0.0,False,0
0.7000000000000001,-70.15645599365234,-15.41109848022461,0.03358674794435501,0.0,179.79132080078125,0.0,-9.435257436463118e-11,-9.836657000050764e-08,0.05990584194660187,0.699999988079071,0.04658721387386322,0.0,False,0
0.8,-70.15645599365234,-15.41109848022461,0.037347812205553055,0.0,179.79132080078125,0.0,3.1737229511108467e-10,-7.335385987516929e-08,0.024392621591687202,0.699999988079071,0.046592384576797485,0.0,False,0
0.9,-70.15645599365234,-15.41109848022461,0.03861783817410469,0.0,179.79132080078125,0.0,-7.942797530802181e-10,-4.942060272128401e-08,0.006387027446180582,0.699999988079071,0.04659755900502205,0.0,False,0
1.0,-70.15645599365234,-15.41109848022461,0.03879495710134506,0.0,179.79132080078125,0.0,-1.0243162984480136e-09,-8.68174367951724e-08,-0.0004355467390269041,0.699999988079071,0.046602729707956314,0.0,False,0
1.1,-70.15645599365234,-15.41109848022461,0.0386391244828701,0.0,179.79132080078125,0.0,8.661589667724456e-09,-4.375885964691406e-08,-0.0019192356849089265,0.699999988079071,0.04660790413618088,0.0,False,0
1.2000000000000002,-70.15645599365234,-15.41109848022461,0.03846284747123718,0.0,179.79132080078125,0.0,-3.09472847348502e-09,-2.4624586814070426e-08,-0.0015382490819320083,0.699999988079071,0.04661307856440544,0.0,False,0
1.3,-70.15645599365234,-15.41109848022461,0.038349591195583344,0.0,179.79132080078125,0.0,-3.0006566120732714e-09,5.961430238343723e-10,-0.000852976692840457,0.699999988079071,0.046618249267339706,0.0,False,0
1.4000000000000001,-70.15645599365234,-15.41109848022461,0.038295306265354156,0.0,179.79132080078125,0.0,8.114457439312162e-10,1.3302181578467298e-09,-0.00035789248067885637,0.699999988079071,0.04662342369556427,0.0,False,0
1.5,-70.15645599365234,-15.41109848022461,0.03827611729502678,0.0,179.79132080078125,0.0,1.0507602565823504e-09,-4.1821618390613935e-10,-0.00010065308742923662,0.699999988079071,0.046628594398498535,0.0,False,0
1.6,-70.15645599365234,-15.41109848022461,0.0382729135453701,0.0,179.79132080078125,0.0,1.3875955939823825e-09,-1.14478932999873e-08,1.94517133422778e-06,0.699999988079071,0.0466337688267231,0.0,False,0
1.7000000000000002,-70.15645599365234,-15.41109848022461,0.038274820894002914,0.0,179.79132080078125,0.0,1.0397178257237627e-10,-2.780345120800831e-10,2.5706774977152236e-05,0.699999988079071,0.046638939529657364,0.0,False,0
1.8,-70.15645599365234,-15.41109848022461,0.03827718645334244,0.0,179.79132080078125,0.0,-4.6080680937699015e-10,-1.0037296549469943e-09,2.1606658265227452e-05,0.699999988079071,0.04664411395788193,0.0,False,0
1.9000000000000001,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,7.294488901798957e-10,-5.080078024910506e-10,1.306316062255064e-05,0.699999988079071,0.04664928838610649,0.0,False,0
2.0,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,-1.113382008810504e-08,1.2254227854668898e-08,4.805717708222801e-06,0.699999988079071,0.046654459089040756,0.0,False,0
2.1,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,8.603727508216252e-09,2.910322294269463e-08,2.4791399937384995e-06,0.699999988079071,0.04665963351726532,0.0,False,0
2.2,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,-1.065839971836624e-09,-3.6273852810353446e-09,6.102498559812375e-07,0.699999988079071,0.046664804220199585,0.0,False,0
2.3000000000000003,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,5.206771125365606e-10,2.578075974923877e-09,1.907030799941367e-08,0.699999988079071,0.04666997864842415,0.0,False,0
2.4000000000000004,-70.15645599365234,-15.41109848022461,0.03827882558107376,0.0,179.79132080078125,0.0,1.0135132733068986e-09,9.048633509145532e-10,-4.576873777750734e-07,0.699999988079071,0.04667515307664871,0.0,False,0
